,Name of column,Count of unique values,count of nan and null values,proportion of nans,Datatype,Mean,Median,Standard Deviation,Max value,Min value
0,Номер варианта,1,0,0.0,int64,20.0,20.0,0.0,20,20
1,ID,10242,0,0.0,int64,1102430.0,1102430.0,59132.214288547206,1204840,1000020
2,INCOME_BASE_TYPE,5,63,0.01,object,N/A,N/A,N/A,N/A,N/A
3,CREDIT_PURPOSE,10,0,0.0,object,N/A,N/A,N/A,N/A,N/A
4,INSURANCE_FLAG,2,0,0.0,int64,0.6136496777973052,1.0,0.48691246722236897,1,0
5,DTI,60,109,0.01,object,N/A,N/A,N/A,N/A,N/A
6,SEX,2,0,0.0,object,N/A,N/A,N/A,N/A,N/A
7,FULL_AGE_CHILD_NUMBER,8,0,0.0,int64,0.5707869556727202,0.0,0.7821217653802357,8,0
8,DEPENDANT_NUMBER,4,0,0.0,int64,0.005858230814294083,0.0,0.09355761515327046,3,0
9,EDUCATION,9,0,0.0,object,N/A,N/A,N/A,N/A,N/A
10,EMPL_TYPE,10,11,0.0,object,N/A,N/A,N/A,N/A,N/A
11,EMPL_SIZE,9,109,0.01,object,N/A,N/A,N/A,N/A,N/A
12,BANKACCOUNT_FLAG,6,2278,0.22,float64,0.3751883475640382,0.0,0.8533134238260234,4.0,0.0
13,Period_at_work,367,2279,0.22,float64,66.29549164887605,44.0,66.55053128740897,518.0,3.0
14,age,41,2278,0.22,float64,36.43746860873933,35.0,8.65696111877862,63.0,23.0
15,EMPL_PROPERTY,13,2279,0.22,object,N/A,N/A,N/A,N/A,N/A
16,EMPL_FORM,7,6316,0.62,object,N/A,N/A,N/A,N/A,N/A
17,FAMILY_STATUS,7,6316,0.62,object,N/A,N/A,N/A,N/A,N/A
18,max90days,21,6365,0.62,float64,1.6143925715759608,1.0,1.9893005586227694,29.0,0.0
19,max60days,19,6365,0.62,float64,1.158627805003869,1.0,1.6237090981673519,24.0,0.0
20,max30days,16,6365,0.62,float64,0.8589115295331442,0.0,1.342527212245201,15.0,0.0
21,max21days,14,6365,0.62,float64,0.6572091823574929,0.0,1.1400997521115552,12.0,0.0
22,max14days,13,6365,0.62,float64,0.5328862522568997,0.0,1.0025833285199233,11.0,0.0
23,avg_num_delay,1147,6645,0.65,float64,0.06216102381120376,0.0149253731,0.11133395224982769,0.9784946237,0.0
24,if_zalog,3,6633,0.65,float64,0.3297312274868385,0.0,0.4701154593361694,1.0,0.0
25,num_AccountActive180,9,6633,0.65,float64,0.40371293987254087,0.0,0.7055946020759617,8.0,0.0
26,num_AccountActive90,6,6633,0.65,float64,0.17040731504571904,0.0,0.4454752354938578,4.0,0.0
27,num_AccountActive60,5,6633,0.65,float64,0.10446106954835134,0.0,0.34098376770251587,3.0,0.0
28,Active_to_All_prc,85,6633,0.65,float64,0.43253466145946284,0.4,0.2924266449275479,1.0,0.0
29,numAccountActiveAll,15,6633,0.65,float64,2.227209753394292,2.0,1.654543439565711,14.0,0.0
30,numAccountClosed,26,6633,0.65,float64,3.541978387364921,3.0,3.2348669471531615,30.0,0.0
31,sum_of_paym_months,325,6633,0.65,float64,81.55056802438348,64.0,69.59125610583811,514.0,0.0
32,all_credits,30,6633,0.65,float64,5.769188140759213,5.0,4.0631184431114775,35.0,1.0
33,Active_not_cc,10,6633,0.65,float64,1.0894984760321418,1.0,1.0496264614487814,9.0,0.0
34,own_closed,10,6633,0.65,float64,0.7198669991687449,0.0,1.0823383161373357,12.0,0.0
35,min_MnthAfterLoan,96,6633,0.65,float64,13.832363535605431,9.0,15.214924458520343,104.0,-1.0
36,max_MnthAfterLoan,135,6633,0.65,float64,61.1645885286783,67.0,30.241011361965104,172.0,0.0
37,dlq_exist,3,6633,0.65,float64,0.5777223607647548,1.0,0.4939222961531101,1.0,0.0
38,thirty_in_a_year,3,6633,0.65,float64,0.15101136048766972,0.0,0.35805995237018523,1.0,0.0
39,sixty_in_a_year,3,6633,0.65,float64,0.085896370185647,0.0,0.28021096298071574,1.0,0.0
40,ninety_in_a_year,3,6633,0.65,float64,0.06816292601828762,0.0,0.2520252795552649,1.0,0.0
41,thirty_vintage,3,6633,0.65,float64,0.033527292878913824,0.0,0.18000892619846454,1.0,0.0
42,sixty_vintage,3,6633,0.65,float64,0.017456359102244388,0.0,0.13096424943142623,1.0,0.0
43,ninety_vintage,3,6633,0.65,float64,0.017456359102244388,0.0,0.13096424943142623,1.0,0.0
